year,level_1,level_2,value
2013,Expenditure Quintile - 61st - 80th,"Accommodation Services",48.1
2013,Expenditure Quintile - 61st - 80th,"Miscellaneous Goods and Services",720.4
2013,Expenditure Quintile - 61st - 80th,"Non-Assignable Expenditure",25.8
2013,Expenditure Quintile - 61st - 80th,"Imputed rentals for owner-occupied accommodation",1141.7
2013,Expenditure Quintile - 61st - 80th,"Total, including imputed rental of owner-occupied accommodation",6943.6
2013,Expenditure Quintile - 61st - 80th,"Number of Resident Households",237958
2013,Expenditure Quintile - 81st - 100th,"Total",9240.8
2013,Expenditure Quintile - 81st - 100th,"Food and Non-Alcoholic Beverages",563.9
2013,Expenditure Quintile - 81st - 100th,"Alcoholic Beverages and Tobacco",66.2
2013,Expenditure Quintile - 81st - 100th,"Clothing and Footwear",353.6
2013,Expenditure Quintile - 81st - 100th,"Housing and Utilities",889.4
2013,Expenditure Quintile - 81st - 100th,"Furnishings, Household Equipment and Routine Household Maintenance",546
2013,Expenditure Quintile - 81st - 100th,"Health",555.3
2013,Expenditure Quintile - 81st - 100th,"Transport",1783.3
2013,Expenditure Quintile - 81st - 100th,"Communication",284.2
2013,Expenditure Quintile - 81st - 100th,"Recreation and Culture",934.5
2013,Expenditure Quintile - 81st - 100th,"Educational Services",668.8
2013,Expenditure Quintile - 81st - 100th,"Food Serving Services",1259.5
2013,Expenditure Quintile - 81st - 100th,"Accommodation Services",114.7
2013,Expenditure Quintile - 81st - 100th,"Miscellaneous Goods and Services",1200.9
2013,Expenditure Quintile - 81st - 100th,"Non-Assignable Expenditure",20.5
2013,Expenditure Quintile - 81st - 100th,"Imputed rentals for owner-occupied accommodation",1623
2013,Expenditure Quintile - 81st - 100th,"Total, including imputed rental of owner-occupied accommodation",10863.9
2013,Expenditure Quintile - 81st - 100th,"Number of Resident Households",237959
